Log,Question,Mode,Correlation,P-Value,significance
Agreement__Nothing,I think the robot was nice,Delta_Task,-0.5166529797962822,0.028139908224511293,*
Agreement__Nothing,I think the robot was nice,Social,,,-
Agreement__Nothing,I think the robot was nice,Task,-0.5166529797962822,0.028139908224511293,*
Agreement__Nothing,I think the robot was serious,Baseline,-0.058227318281694654,0.7397012201503635,-
Agreement__Nothing,I think the robot was serious,"Delta Logs, Delta_Social",-0.12535857120735197,0.6316571789475456,-
Agreement__Nothing,I think the robot was serious,"Delta Logs, Delta_Task",-0.5048537226850957,0.03260960014029654,*
Agreement__Nothing,I think the robot was serious,Delta_Social,0.26345190625028114,0.3069244150896507,-
Agreement__Nothing,I think the robot was serious,Delta_Task,-0.49737440827494606,0.035714462013518196,*
Agreement__Nothing,I think the robot was serious,Social,-0.11930398220906197,0.6483398708922335,-
Agreement__Nothing,I think the robot was serious,Task,-0.5884898863364997,0.01019471626218552,*
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Baseline,0.050212254571511045,0.7745319722557329,-
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Social",-0.11951073586509132,0.6477675141095962,-
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Task",-0.42215518304798777,0.08096291894069768,-
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Social,0.049947023091199916,0.8490204009088698,-
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Task,-0.08780827807398144,0.7289938985888061,-
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Social,0.383340134479905,0.12879254352557634,-
Agreement__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Task,-0.2893496939616824,0.24418111847310206,-
Agreement__Nothing,I would like to redo this activity with Blueberry,Baseline,0.36964512015503015,0.028852638454044136,*
Agreement__Nothing,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Social",0.361904466354445,0.15345337352025143,-
Agreement__Nothing,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Task",0.19518001458970663,0.4376665766068403,-
Agreement__Nothing,I would like to redo this activity with Blueberry,Delta_Social,-0.38028680697015455,0.13212470978009977,-
Agreement__Nothing,I would like to redo this activity with Blueberry,Delta_Task,-0.09759000729485331,0.700062075969013,-
Agreement__Nothing,I would like to redo this activity with Blueberry,Social,,,-
Agreement__Nothing,I would like to redo this activity with Blueberry,Task,-0.07100716024967263,0.7794902772021626,-
Agreement__Nothing,I would like to redo this activity with a group of friends,Baseline,-0.10870891689182403,0.5341914783462285,-
Agreement__Nothing,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Social",0.3191971059593589,0.2117294321975625,-
Agreement__Nothing,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Task",0.18943942592530347,0.4515216215872391,-
Agreement__Nothing,I would like to redo this activity with a group of friends,Delta_Social,0.2049728979374807,0.43000327777380065,-
Agreement__Nothing,I would like to redo this activity with a group of friends,Delta_Task,0.29851061054896305,0.22888891190372734,-
Agreement__Nothing,I would like to redo this activity with a group of friends,Social,0.054326686710022075,0.8359434856075326,-
Agreement__Nothing,I would like to redo this activity with a group of friends,Task,-0.29851061054896305,0.22888891190372734,-
Agreement__Nothing,I wrote well on the tablet,Baseline,-0.04556803018092806,0.7949189551028152,-
Agreement__Nothing,I wrote well on the tablet,"Delta Logs, Delta_Social",-0.0059314335089657,0.981974831013544,-
Agreement__Nothing,I wrote well on the tablet,"Delta Logs, Delta_Task",0.13557516126036365,0.5916891239355919,-
Agreement__Nothing,I wrote well on the tablet,Delta_Social,0.12880935846719088,0.6222229706235669,-
Agreement__Nothing,I wrote well on the tablet,Delta_Task,0.19509596376491353,0.4378678270947495,-
Agreement__Nothing,I wrote well on the tablet,Social,0.36788279726735323,0.1462756998660676,-
Agreement__Nothing,I wrote well on the tablet,Task,-0.09011271137791659,0.7221449034776497,-
Agreement__Word_length,AverageResponses,Baseline,-0.39878514312286634,0.017646814350711398,*
Agreement__Word_length,AverageResponses,Delta_Social,0.20823735846240315,0.42253161120253113,-
Agreement__Word_length,AverageResponses,Delta_Task,-0.4324112371153901,0.07310325148728045,-
Agreement__Word_length,AverageResponses,Social,0.3081823117188382,0.2288029112891112,-
Agreement__Word_length,AverageResponses,Task,-0.45575856155376765,0.05732717783001087,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,Baseline,-0.321500195633249,0.05966118312400555,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Social",-0.15111077559530572,0.5626367557427618,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Task",-0.011912643244191733,0.9625817957216307,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,Delta_Social,0.17539643595883703,0.5007287566614871,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,Delta_Task,-0.1866314108256705,0.45837938019534563,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,Social,0.24541245430351072,0.3424081892783437,-
Agreement__Word_length,I enjoyed teaching Blueberry how to write in a group,Task,-0.32147296520657564,0.19331467760836715,-
Agreement__Word_length,I enjoyed writing on the tablet,Baseline,-0.25065836232701766,0.14640097649276754,-
Agreement__Word_length,I enjoyed writing on the tablet,"Delta Logs, Delta_Social",0.12413220787308403,0.635023051987925,-
Agreement__Word_length,I enjoyed writing on the tablet,"Delta Logs, Delta_Task",-0.3105295017040594,0.2097798339444792,-
Agreement__Word_length,I enjoyed writing on the tablet,Delta_Social,0.01773317255329772,0.9461428493683307,-
Agreement__Word_length,I enjoyed writing on the tablet,Delta_Task,-0.20701966780270625,0.40980275965327007,-
Agreement__Word_length,I enjoyed writing on the tablet,Social,0.051700638050635,0.8437797512862414,-
Agreement__Word_length,I enjoyed writing on the tablet,Task,-0.07100716024967263,0.7794902772021626,-
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Baseline,-0.3571754001159205,0.035171559265102056,*
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Social",-0.08586588815281,0.7431587409933931,-
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Task",0.09759000729485331,0.700062075969013,-
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Social,0.28373076085276344,0.269757465085273,-
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Task,0.2927700218845599,0.23839778379182888,-
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Social,0.2881640539910879,0.2620186177819998,-
Agreement__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Task,0.005740588664403135,0.9819639415405124,-
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Baseline,-0.3198666208124887,0.06104331652709656,-
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Social",-0.4200512762288929,0.09321178319982625,-
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Task",-0.48222651302266395,0.042694554212019,*
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Delta_Social,0.20679447445114724,0.4258256304052952,-
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Delta_Task,-0.3137775255969389,0.20480049275676238,-
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Social,0.24929243014678523,0.3345854980813874,-
Agreement__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Task,-0.3442447618279533,0.16185877138114768,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,Baseline,0.08135712506189513,0.642213154277703,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Social",-0.21941093871535325,0.397480836921014,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Task",-0.30612234797406535,0.21666160677410273,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,Delta_Social,-0.03700907400018006,0.8878567389192147,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,Delta_Task,-0.2507597956808833,0.31554171007607074,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,Social,0.24634728732016684,0.3405139042474744,-
Agreement__Word_length,I think I helped the group teach Blueberry how to write,Task,-0.13177297660794252,0.6022192986500843,-
Agreement__Word_length,I think the robot was a good student,Baseline,-0.28703120620251704,0.09456050612701193,-
Agreement__Word_length,I think the robot was a good student,"Delta Logs, Delta_Social",-0.19117044180410497,0.4623405046396992,-
Agreement__Word_length,I think the robot was a good student,"Delta Logs, Delta_Task",-0.5365132634673001,0.021706348322353144,*
Agreement__Word_length,I think the robot was a good student,Delta_Social,0.43118004757276235,0.08398428849721443,-
Agreement__Word_length,I think the robot was a good student,Delta_Task,-0.4769006786376001,0.045380761369594236,*
Agreement__Word_length,I think the robot was a good student,Social,0.5479334671556371,0.022783587032746726,*
Agreement__Word_length,I think the robot was a good student,Task,-0.11667667023938957,0.6447558524949286,-
Agreement__Word_length,I think the robot was nice,Baseline,,,-
Agreement__Word_length,I think the robot was nice,"Delta Logs, Delta_Social",,,-
Agreement__Word_length,I think the robot was nice,"Delta Logs, Delta_Task",-0.5166529797962822,0.028139908224511293,*
Agreement__Word_length,I think the robot was nice,Delta_Social,,,-
Agreement__Word_length,I think the robot was nice,Delta_Task,-0.5166529797962822,0.028139908224511293,*
Agreement__Word_length,I think the robot was nice,Social,,,-
Agreement__Word_length,I think the robot was nice,Task,-0.5166529797962822,0.028139908224511293,*
Agreement__Word_length,I think the robot was serious,Baseline,-0.23544740585194382,0.17333379618050768,-
Agreement__Word_length,I think the robot was serious,"Delta Logs, Delta_Social",-0.12535857120735197,0.6316571789475456,-
Agreement__Word_length,I think the robot was serious,"Delta Logs, Delta_Task",-0.5048537226850957,0.03260960014029654,*
Agreement__Word_length,I think the robot was serious,Delta_Social,0.1486810960831384,0.5690069080725976,-
Agreement__Word_length,I think the robot was serious,Delta_Task,-0.48615543665972166,0.04079191294522787,*
Agreement__Word_length,I think the robot was serious,Social,-0.11353705472806302,0.6643785222845224,-
Agreement__Word_length,I think the robot was serious,Task,-0.5590653920196746,0.01586468031518589,*
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Baseline,-0.07196285142613575,0.6812121051839545,-
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Social",-0.0706199802839176,0.7876751283900358,-
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Task",-0.42215518304798777,0.08096291894069768,-
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Social,-0.04074229631764477,0.8766219774267436,-
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Task,-0.2532931098287926,0.31051359127993206,-
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Social,0.25492761091206256,0.32340966388601866,-
Agreement__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Task,-0.27272040120526386,0.2735559716900068,-
Agreement__Word_length,I would like to redo this activity with Blueberry,Baseline,0.3549428411391698,0.03641364696228197,*
Agreement__Word_length,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Social",0.361904466354445,0.15345337352025143,-
Agreement__Word_length,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Task",0.19518001458970663,0.4376665766068403,-
Agreement__Word_length,I would like to redo this activity with Blueberry,Delta_Social,-0.361904466354445,0.15345337352025143,-
Agreement__Word_length,I would like to redo this activity with Blueberry,Delta_Task,-0.09759000729485331,0.700062075969013,-
Agreement__Word_length,I would like to redo this activity with Blueberry,Social,,,-
Agreement__Word_length,I would like to redo this activity with Blueberry,Task,-0.07100716024967263,0.7794902772021626,-
Agreement__Word_length,I would like to redo this activity with a group of friends,Baseline,-0.2220093375613556,0.19991586177916865,-
Agreement__Word_length,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Social",0.3191971059593589,0.2117294321975625,-
Agreement__Word_length,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Task",0.18943942592530347,0.4515216215872391,-
Agreement__Word_length,I would like to redo this activity with a group of friends,Delta_Social,0.28373076085276344,0.269757465085273,-
Agreement__Word_length,I would like to redo this activity with a group of friends,Delta_Task,0.29851061054896305,0.22888891190372734,-
Agreement__Word_length,I would like to redo this activity with a group of friends,Social,0.051700638050635,0.8437797512862414,-
Agreement__Word_length,I would like to redo this activity with a group of friends,Task,-0.29851061054896305,0.22888891190372734,-
Agreement__Word_length,I wrote well on the tablet,Baseline,-0.09258000371771953,0.5968348445576617,-
Agreement__Word_length,I wrote well on the tablet,"Delta Logs, Delta_Social",-0.12060581468230257,0.6447391201648677,-
Agreement__Word_length,I wrote well on the tablet,"Delta Logs, Delta_Task",0.13557516126036365,0.5916891239355919,-
Agreement__Word_length,I wrote well on the tablet,Delta_Social,0.0006590481676628556,0.9979970526600186,-
Agreement__Word_length,I wrote well on the tablet,Delta_Task,0.26453690002022173,0.28877769202978537,-
Agreement__Word_length,I wrote well on the tablet,Social,0.1786224708558986,0.492756956548308,-
Agreement__Word_length,I wrote well on the tablet,Task,0.03003757045930553,0.9058176288859201,-
Attempt_duration__Nothing,AverageResponses,Baseline,-0.04092291097349304,0.8154443659691322,-
Attempt_duration__Nothing,AverageResponses,Delta_Social,-0.3079917816779256,0.2291057343434563,-
Attempt_duration__Nothing,AverageResponses,Delta_Task,-0.8143218917939464,3.895225706950985e-05,***
Attempt_duration__Nothing,AverageResponses,Social,-0.3805490083977557,0.13183624073210648,-
Attempt_duration__Nothing,AverageResponses,Task,-0.7826474608750906,0.0001233539962777748,***
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,Baseline,-0.09824398564567845,0.5744757160091825,-
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Social",-0.5558717816541604,0.020507954631200545,*
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Task",-0.1866314108256705,0.45837938019534563,-
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Social,-0.20507890973648635,0.42975956526016157,-
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Task,-0.007941762162794488,0.9750499417163974,-
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,Social,-0.0956954224328155,0.7148510454390147,-
Attempt_duration__Nothing,I enjoyed teaching Blueberry how to write in a group,Task,-0.32147296520657564,0.19331467760836715,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,Baseline,-0.10690720920101236,0.5410289287389471,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Social",-0.04137740262436134,0.8747128456066048,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Task",-0.20701966780270625,0.40980275965327007,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,Delta_Social,0.21279807063957265,0.4122082542844745,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,Delta_Task,-0.10350983390135313,0.6827389048814811,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,Social,0.20680255220254,0.4258071521005605,-
Attempt_duration__Nothing,I enjoyed writing on the tablet,Task,-0.07100716024967263,0.7794902772021626,-
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Baseline,0.07135952729974604,0.6837460671875208,-
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Social",-0.3677299992631211,0.14645623269825048,-
Attempt_duration__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Task",0.2927700218845599,0.23839778379182888,-
