Log,Question,Mode,Correlation,P-Value,significance
Accepted_or_Rejected__Nothing,I think the robot was a good student,Delta_Task,0.4610436806523351,0.054141687863357844,-
Accepted_or_Rejected__Nothing,I think the robot was a good student,Social,0.35136053935487044,0.16668953057281546,-
Accepted_or_Rejected__Nothing,I think the robot was a good student,Task,0.19149159975245542,0.4465431348834169,-
Accepted_or_Rejected__Nothing,I think the robot was nice,Baseline,,,-
Accepted_or_Rejected__Nothing,I think the robot was nice,"Delta Logs, Delta_Social",,,-
Accepted_or_Rejected__Nothing,I think the robot was nice,"Delta Logs, Delta_Task",-0.34102409632985164,0.16608078016968425,-
Accepted_or_Rejected__Nothing,I think the robot was nice,Delta_Social,,,-
Accepted_or_Rejected__Nothing,I think the robot was nice,Delta_Task,0.10289597533280527,0.6845284142003246,-
Accepted_or_Rejected__Nothing,I think the robot was nice,Social,,,-
Accepted_or_Rejected__Nothing,I think the robot was nice,Task,0.10289597533280527,0.6845284142003246,-
Accepted_or_Rejected__Nothing,I think the robot was serious,Baseline,0.09257749506431351,0.5968448308519294,-
Accepted_or_Rejected__Nothing,I think the robot was serious,"Delta Logs, Delta_Social",0.70082022140353,0.0017254305890959769,**
Accepted_or_Rejected__Nothing,I think the robot was serious,"Delta Logs, Delta_Task",0.31287141819039804,0.20618171511171215,-
Accepted_or_Rejected__Nothing,I think the robot was serious,Delta_Social,0.5315008629575572,0.028114503660851276,*
Accepted_or_Rejected__Nothing,I think the robot was serious,Delta_Task,0.4319756210317107,0.07342516354599037,-
Accepted_or_Rejected__Nothing,I think the robot was serious,Social,0.23629357544829047,0.3612008341632751,-
Accepted_or_Rejected__Nothing,I think the robot was serious,Task,0.5046237080778269,0.03270186628961715,*
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Baseline,0.3696752880927112,0.02883856630931374,*
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Social",0.45907953265781215,0.06378297338889345,-
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Task",0.5104858673915663,0.03041241986893691,*
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Social,0.43633622864161414,0.07994133237448471,-
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Task,0.3587238816008328,0.1437819073068173,-
Accepted_or_Rejected__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Social,0.6633898485743291,0.0036938497109944516,**
